Epoch Train_Loss Validation_Loss
993 6.527 6.643
994 6.584 6.729
995 6.608 6.728
996 6.570 6.686
997 6.500 6.651
998 6.539 6.571
999 6.666 6.635
1000 6.600 6.661
1001 6.596 6.599
1002 6.576 6.580
1003 6.589 6.645
1004 6.615 6.683
1005 6.506 6.713
1006 6.493 6.630
1007 6.432 6.636
1008 6.514 6.728
1009 6.577 6.698
1010 6.501 6.668
1011 6.606 6.700
1012 6.457 6.699
1013 6.684 6.675
1014 6.430 6.677
1015 6.601 6.688
1016 6.615 6.655
1017 6.460 6.657
1018 6.573 6.646
1019 6.527 6.667
1020 6.515 6.753
1021 6.531 6.698
1022 6.518 6.635
1023 6.538 6.542
1024 6.628 6.606
1025 6.490 6.597
1026 6.483 6.709
1027 6.607 6.615
1028 6.547 6.611
1029 6.558 6.574
1030 6.577 6.557
1031 6.476 6.714
1032 6.613 6.627
1033 6.529 6.594
1034 6.328 6.576
1035 6.477 6.592
1036 6.653 6.587
1037 6.470 6.648
1038 6.628 6.618
1039 6.482 6.640
1040 6.497 6.680
1041 6.438 6.635
1042 6.663 6.531
1043 6.519 6.759
1044 6.481 6.751
1045 6.508 6.744
1046 6.572 6.730
1047 6.551 6.730
1048 6.430 6.627
1049 6.592 6.585
1050 6.425 6.731
1051 6.610 6.646
1052 6.439 6.715
1053 6.495 6.705
1054 6.602 6.537
1055 6.471 6.653
1056 6.450 6.617
1057 6.580 6.623
1058 6.451 6.665
1059 6.643 6.591
1060 6.559 6.674
1061 6.434 6.673
1062 6.629 6.667
1063 6.467 6.654
1064 6.504 6.676
1065 6.571 6.687
1066 6.569 6.752
1067 6.397 6.639
1068 6.463 6.711
1069 6.422 6.640
1070 6.580 6.681
1071 6.423 6.859
1072 6.516 6.645
1073 6.597 6.673
1074 6.446 6.660
1075 6.486 6.770
1076 6.455 6.575
1077 6.600 6.627
1078 6.462 6.711
1079 6.574 6.615
1080 6.576 6.633
1081 6.611 6.615
1082 6.484 6.625
1083 6.397 6.656
1084 6.440 6.591
1085 6.506 6.682
1086 6.622 6.613
1087 6.434 6.620
1088 6.469 6.617
1089 6.515 6.604
1090 6.495 6.746
1091 6.624 6.655
1092 6.419 6.660
1093 6.468 6.673
1094 6.526 6.667
1095 6.557 6.598
1096 6.507 6.701
1097 6.525 6.668
1098 6.624 6.619
1099 6.536 6.606
1100 6.469 6.681
1101 6.504 6.594
1102 6.497 6.668
1103 6.411 6.590
1104 6.355 6.579
1105 6.509 6.735
1106 6.516 6.670
1107 6.518 6.725
1108 6.530 6.746
1109 6.404 6.718
1110 6.477 6.706
1111 6.416 6.600
1112 6.604 6.639
1113 6.237 6.756
1114 6.538 6.652
1115 6.298 6.697
1116 6.489 6.631
1117 6.563 6.583
1118 6.430 6.618
1119 6.471 6.713
1120 6.647 6.561
1121 6.504 6.578
1122 6.392 6.635
1123 6.443 6.663
1124 6.543 6.593
1125 6.493 6.642
1126 6.410 6.636
1127 6.333 6.513
1128 6.454 6.638
1129 6.399 6.627
1130 6.394 6.612
1131 6.640 6.577
1132 6.459 6.494
1133 6.493 6.646
1134 6.491 6.581
1135 6.570 6.669
1136 6.464 6.670
1137 6.437 6.659
1138 6.427 6.575
1139 6.469 6.573
1140 6.404 6.567
1141 6.489 6.582
1142 6.483 6.600
1143 6.423 6.629
1144 6.429 6.688
1145 6.574 6.504
1146 6.316 6.618
1147 6.435 6.567
1148 6.416 6.603
1149 6.462 6.560
1150 6.520 6.570
1151 6.324 6.556
1152 6.572 6.631
1153 6.505 6.612
1154 6.439 6.522
1155 6.362 6.575
1156 6.389 6.753
1157 6.535 6.582
1158 6.495 6.556
1159 6.420 6.580
1160 6.441 6.548
1161 6.425 6.653
1162 6.285 6.608
1163 6.576 6.689
1164 6.415 6.531
1165 6.356 6.577
1166 6.543 6.590
1167 6.475 6.630
1168 6.458 6.575
1169 6.418 6.675
1170 6.494 6.511
1171 6.548 6.570
1172 6.304 6.586
1173 6.398 6.497
1174 6.481 6.585
1175 6.476 6.559
1176 6.398 6.592
1177 6.443 6.633
1178 6.383 6.560
1179 6.402 6.592
1180 6.623 6.590
1181 6.328 6.582
1182 6.466 6.595
1183 6.345 6.500
1184 6.510 6.643
1185 6.530 6.637
1186 6.396 6.648
1187 6.421 6.591
1188 6.384 6.628
1189 6.340 6.622
1190 6.429 6.694
1191 6.378 6.657
1192 6.356 6.619
1193 6.307 6.585
1194 6.317 6.605
1195 6.391 6.559
1196 6.253 6.632
1197 6.313 6.537
1198 6.419 6.594
1199 6.319 6.633
1200 6.361 6.573
1201 6.357 6.546
1202 6.461 6.593
1203 6.371 6.605
1204 6.376 6.625
1205 6.378 6.661
1206 6.349 6.629
1207 6.419 6.597
1208 6.426 6.596
1209 6.366 6.539
1210 6.406 6.649
1211 6.312 6.603
1212 6.394 6.549
1213 6.445 6.641
1214 6.378 6.573
1215 6.331 6.618
1216 6.423 6.527
1217 6.407 6.532
1218 6.435 6.460
1219 6.392 6.584
1220 6.422 6.620
1221 6.376 6.600
1222 6.544 6.529
1223 6.264 6.502
1224 6.323 6.613
1225 6.544 6.588
1226 6.355 6.584
1227 6.464 6.605
1228 6.365 6.590
1229 6.414 6.554
1230 6.379 6.556
1231 6.458 6.598
1232 6.409 6.563
1233 6.421 6.613
1234 6.503 6.517
1235 6.462 6.587
1236 6.327 6.579
1237 6.411 6.673
1238 6.291 6.609
1239 6.332 6.612
1240 6.383 6.657
1241 6.338 6.705
1242 6.360 6.559
1243 6.377 6.634
1244 6.467 6.635
1245 6.482 6.599
1246 6.399 6.556
1247 6.499 6.601
1248 6.361 6.597
1249 6.393 6.491
1250 6.358 6.577
1251 6.406 6.523
1252 6.421 6.571
1253 6.368 6.552
1254 6.380 6.496
1255 6.407 6.647
1256 6.312 6.648
1257 6.365 6.576
1258 6.463 6.592
1259 6.324 6.600
1260 6.410 6.653
1261 6.289 6.630
1262 6.342 6.578
1263 6.244 6.683
1264 6.302 6.612
1265 6.389 6.596
1266 6.370 6.633
1267 6.266 6.529
1268 6.336 6.615
1269 6.367 6.585
1270 6.367 6.539
1271 6.390 6.546
1272 6.435 6.618
1273 6.335 6.559
1274 6.380 6.667
1275 6.306 6.625
1276 6.319 6.638
1277 6.277 6.622
1278 6.420 6.557
1279 6.388 6.632
1280 6.357 6.614
1281 6.334 6.636
1282 6.350 6.659
1283 6.186 6.567
1284 6.373 6.585
1285 6.309 6.550
1286 6.346 6.572
1287 6.379 6.582
1288 6.285 6.642
1289 6.402 6.585
1290 6.366 6.635
1291 6.434 6.658
1292 6.368 6.745
1293 6.201 6.767
1294 6.318 6.661
1295 6.319 6.649
1296 6.273 6.663
1297 6.360 6.678
1298 6.314 6.637
1299 6.352 6.604
1300 6.253 6.630
1301 6.313 6.676
1302 6.360 6.603
1303 6.335 6.588
1304 6.275 6.612
1305 6.357 6.513
1306 6.396 6.566
1307 6.354 6.612
1308 6.461 6.567
1309 6.283 6.666
1310 6.475 6.550
1311 6.336 6.578
1312 6.384 6.634
1313 6.226 6.570
1314 6.478 6.677
1315 6.399 6.581
1316 6.338 6.690
1317 6.295 6.750
1318 6.240 6.685
1319 6.320 6.659
1320 6.328 6.592
1321 6.324 6.597
1322 6.123 6.571
1323 6.379 6.648
1324 6.320 6.626
1325 6.364 6.667
1326 6.307 6.618
1327 6.264 6.600
1328 6.296 6.710
1329 6.420 6.640
1330 6.243 6.626
1331 6.308 6.587
1332 6.336 6.576
1333 6.339 6.587
1334 6.229 6.580
1335 6.301 6.566
1336 6.277 6.630
1337 6.332 6.645
1338 6.233 6.652
1339 6.353 6.605
1340 6.215 6.597
1341 6.285 6.599
1342 6.161 6.787
1343 6.355 6.539
1344 6.237 6.590
1345 6.324 6.602
1346 6.303 6.521
1347 6.341 6.720
1348 6.326 6.595
1349 6.232 6.629
1350 6.259 6.513
1351 6.349 6.561
1352 6.312 6.611
1353 6.224 6.504
1354 6.379 6.628
1355 6.215 6.455
